Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2005-03-15,175.25,180.0,174.21,178.61,20823300.0,0.0,1.0,87.89632754277316,90.27868164165005,87.37471738217697,89.58152960008398,20823300.0
2005-03-16,176.7,178.61,175.01,175.6,14198300.0,0.0,1.0,88.62357247821978,89.58152960008398,87.77595596725097,88.07186942374304,14198300.0
2005-03-17,177.13,179.64,175.8,179.29,16504600.0,0.0,1.0,88.83923821769707,90.09812427836674,88.17217907001155,89.92258239739687,16504600.0
2005-03-18,178.81,180.4,178.31,180.04,14165800.0,0.0,1.0,89.68183924635247,90.47930093418705,89.43106513068122,90.29874357090374,14165800.0
2005-03-21,179.27,182.17,177.25,180.88,14952400.0,0.0,1.0,89.91255143277003,91.36704130366327,88.89942400545817,90.72004408523145,14952400.0
2005-03-22,181.18,181.94,177.85,178.6,11252100.0,0.0,1.0,90.8705085546342,91.2516852104545,89.20035294426367,89.57651411777054,11252100.0
2005-03-23,177.97,180.24,177.97,178.98,9680300.0,0.0,1.0,89.26053873202477,90.39905321717225,89.26053873202477,89.76710244568069,9680300.0
2005-03-24,180.228,180.86,179.2,179.25,7402900.0,0.0,1.0,90.39303463839614,90.7100131206046,89.87744305657604,89.90252046814317,7402900.0
2005-03-28,181.68,184.8,180.95,181.42,17458500.0,0.0,1.0,91.12128267030545,92.68611315209405,90.75515246142541,90.99088013015638,17458500.0
2005-03-29,181.05,183.28,178.07,179.57,12933000.0,0.0,1.0,90.80530728455967,91.92375984045344,89.31069355515902,90.06301590217276,12933000.0
2005-03-30,180.64,181.45,179.6,180.45,12459700.0,0.0,1.0,90.59967250970924,91.00592657709667,90.07806234911304,90.50437834575416,12459700.0
2005-03-31,177.95,181.39,177.64,180.51,13523600.0,0.0,1.0,89.25050776739792,90.97583368321611,89.09502781568175,90.53447123963471,13523600.0
2005-04-01,181.76,182.95,179.99,180.04,12351600.0,0.0,1.0,91.16140652881285,91.75824892411042,90.27366615933663,90.29874357090374,12351600.0
2005-04-04,179.95,185.32,179.84,185.29,16136600.0,0.0,1.0,90.25360423008291,92.94691823239215,90.19843392463525,92.93187178545188,16136600.0
2005-04-05,187.73,190.26,187.57,188.57,17455900.0,0.0,1.0,94.15564946992757,95.4245664952241,94.07540175291277,94.57694998425526,17455900.0
2005-04-06,189.24,189.65,187.58,189.22,10494600.0,0.0,1.0,94.91298729925475,95.11862207410518,94.08041723522621,94.9029563346279,10494600.0
2005-04-07,188.78,194.62,188.64,193.76,19365000.0,0.0,1.0,94.6822751128372,97.6113167838774,94.61205836044924,97.17998530492285,19365000.0
2005-04-08,193.69,195.1,191.45,192.05,10222900.0,0.0,1.0,97.14487692872888,97.8520599349218,96.02140889052167,96.32233782932718,10222900.0
2005-04-11,193.09,194.8,192.32,193.23,10810100.0,0.0,1.0,96.84394798992338,97.70159546551906,96.45775585178964,96.91416474231131,10810100.0
2005-04-12,193.0,194.42,189.41,193.955,14624500.0,0.0,1.0,96.79880864910255,97.5110071376089,94.99825049858298,97.27778721003465,14624500.0
2005-04-13,193.47,194.32,189.73,192.93,13098400.0,0.0,1.0,97.03453631783353,97.46085231447465,95.15874593261258,96.76370027290858,13098400.0
2005-04-14,193.27,194.36,190.1,191.45,12293000.0,0.0,1.0,96.93422667156503,97.48091424372836,95.3443187782093,96.02140889052167,12293000.0
2005-04-15,190.1,190.34,184.66,185.0,23131600.0,0.0,1.0,95.3443187782093,95.4646903537315,92.6158963997061,92.78642279836255,23131600.0
2005-04-18,184.58,187.88,183.49,186.97,13087400.0,0.0,1.0,92.5757725411987,94.23088170462894,92.02908496903538,93.77447281410727,13087400.0
2005-04-19,189.33,192.0,188.03,191.4,16843100.0,0.0,1.0,94.95812664007558,96.29726041776004,94.30611393933033,95.99633147895456,16843100.0
2005-04-20,198.58,200.5,195.91,198.1,30872000.0,0.0,1.0,99.59744777999371,100.56042038417131,98.25831400230922,99.3567046289493,30872000.0
2005-04-21,200.42,205.0,199.32,204.75,35468200.0,0.0,1.0,100.5202965256639,102.81738742521256,99.96859347118715,102.69200036737693,35468200.0
2005-04-22,222.905,224.0,214.26,215.81,66343700.0,0.0,1.0,111.79760850740003,112.34680382072006,107.46172404744411,108.23912380602498,66343700.0
2005-04-25,217.82,224.74,217.52,223.53,39640300.0,0.0,1.0,109.24723575102341,112.71794951191352,109.09677128162066,112.11107615198908,39640300.0
2005-04-26,220.22,222.0,218.29,218.75,34509400.0,0.0,1.0,110.4509515062454,111.34370735803506,109.48296341975438,109.71367560617193,34509400.0
2005-04-27,217.99,220.85,216.74,219.78,20509000.0,0.0,1.0,109.33249895035163,110.76692689199118,108.70556366117351,110.2302702844547,20509000.0
2005-04-28,219.5,222.08,217.71,219.45,17348200.0,0.0,1.0,110.0898367796788,111.38383121654246,109.19206544557574,110.06475936811168,17348200.0
2005-04-29,221.91,222.25,217.82,220.0,18322000.0,0.0,1.0,111.29856801721424,111.46909441587069,109.24723575102341,110.34061089535005,18322000.0
2005-05-02,222.05,223.7,220.21,222.29,19515200.0,0.0,1.0,111.36878476960219,112.1963393513173,110.44593602393199,111.48915634512439,19515200.0
2005-05-03,221.54,228.15,221.32,226.19,35524800.0,0.0,1.0,111.1129951716175,114.42822898079143,111.00265456072215,113.44519444736014,35524800.0
2005-05-04,227.18,229.88,226.999,228.5,24142800.0,0.0,1.0,113.94172719638921,115.29590742101396,113.85094696651622,114.6037708617613,24142800.0
2005-05-05,228.62,228.62,225.88,226.98,15004100.0,0.0,1.0,114.66395664952242,114.66395664952242,113.28971449564396,113.84141755012071,15004100.0
2005-05-06,228.4,229.25,226.47,228.02,13514200.0,0.0,1.0,114.55361603862707,114.97993203526819,113.58562795213604,114.36302771071692,13514200.0
